location,size,total_sqft,bath
Badavala Nagar,3,1842,3
Koppa,3,720,3
Electronic City,3,1500,2
Kothanur,3,1828,3
Raja Rajeshwari Nagar,2,1260,2
Maruthi nagar kogilu,2,1200,3
Subramanyapura,3,1245,2
Rajaji Nagar,5,2500,4
Hennur Road,2,1480,2
Hebbal,3,1110,3
Old Madras Road,3,2266,3
Kambipura,2,883,2
Marathahalli,3,1595,3
Electronics City Phase 1,3,1330,2
Pai Layout,2,1050,2
Bellandur,3,2000,3
Kadugodi,2,1394,2
Electronic City,1,635,1
Vittasandra,2,1246,2
Abbigere,5,1200,4
Rajiv Gandhi Nagar,3,1750,3
Malleshwaram,4,2500,5
Ramamurthy Nagar,2,1000,2
Kogilu,3,1559,3
Kanakpura Road,3,1452,3
Sarjapur  Road,3,1380,2
Kanakpura Road,3,1550,3
Dodda Nekkundi,2,1315,2
Ramamurthy Nagar,2,1050,2
Subramanyapura,3,2495,3
Attibele,1,418,1
Sarjapura - Attibele Road,3,2400,3
HMT Layout,3,1650,3
Keshava Nagar,2,1279,2
Uttarahalli,3,1360,2
Dasanapura,2,966,2
Basapura,2,1100,2
Kalkere Channasandra,2,1200,2
Kengeri,1,600,1
Jigani,3,1231,3
Sarjapur  Road,3,1770,3
Varthur,2,1111,2
Hebbal,3,2400,4
Munnekollal,2,950,2
6th Phase JP Nagar,2,1140,2
Hebbal,3,2600,3
Old Madras Road,3,2266,3
Jakkur,3,1710,3
2nd Phase JP Nagar,3,1200,3
HSR Layout,4,2400,4
Yelahanka,3,1705,3
Bhoganhalli,3,1718,3
Hegde Nagar,3,1884,4
Electronic City Phase II,2,1000,2
Hennur,2,1100,2
Marathahalli,2,1350,2
Raja Rajeshwari Nagar,3,1850,3
"Basnashankari,6th stage,",3,600,3
BTM 1st Stage,3,1717,3
Kumaraswami Layout,4,2600,4
Rajaji Nagar,3,1640,3
Telecom Layout,2,1200,2
1st Phase JP Nagar,4,2825,4
Hebbal,3,1586,3
Sarjapur  Road,3,1450,2
Yelahanka,2,1023,2
Laggere,8,1800,8
Mallathahalli,2,1200,2
Raja Rajeshwari Nagar,3,1608,3
Kundalahalli,3,1800,3
Hennur Road,2,1385,2
Bannerghatta,2,1113,2
BTM 1st Stage,4,1100,5
Thanisandra main road,3,3144,3
Hennur Road,3,1100,2
Bannerghatta,4,810,4
Kaggadasapura,2,1110,2
Hosa Road,2,1040,2
Balagere,2,1007,2
Gunjur,2,1235,2
Thubarahalli,3,1885,3
Kasavanhalli,2,1200,2
Ulsoor,4,36000,4
Raja Rajeshwari Nagar,2,1255,2
Subramanyapura,3,1400,2
Kanakpura Road,3,1843,3
Thanisandra,3,1588,3
Sahakara Nagar,2,1150,2
Kanakpura Road,2,1309,2
Yelahanka,2,1322,2
Kanakpura Road,1,458,1
Koramangala,3,1594,3
Bommanahalli,3,1850,3
Kanakpura Road,2,1331,2
Kammasandra,2,990,2
Dommasandra,2,674,1
Varthur,3,2145,3
Gottigere,2,1200,2
Varthur Road,2,1033,2
Uttarahalli,2,1120,2
CV Raman Nagar,3,1659,3
 Mysore Highway,3,1450,2
Bellandur,2,1250,2
Thanisandra,3,1595,3
"Thanisandra Main Road, ",4,2872,4
Outer Ring Road East,3,1738,3
Kanakpura Road,2,900,2
7th Phase JP Nagar,3,1575,2
Raja Rajeshwari Nagar,2,1140,2
Varthur,3,2160,3
Ramamurthy Nagar,4,3700,4
Sanne Amanikere,1,655,1
Bagalakunte,5,750,3
Srirampuram,2,432,2
Yelahanka,3,1825,3
Cox Town,2,1000,2
Whitefield,3,1697,3
Raja Rajeshwari Nagar,1,500,1
7th Phase JP Nagar,2,1050,2
Uttarahalli,2,1160,2
Channasandra,2,1065,2
Bhoganhalli,3,1395,2
JP Nagar,3,1520,3
Kadugodi,2,1100,2
2nd Stage Nagarbhavi,4,1500,4
Electronic City Phase II,3,1549,3
Attibele,2,656,2
Kanakapura main  Road,3,1495,2
"Varthur Road, ",2,1330,2
Iblur Village,3,1920,3
Hebbal,4,4225,6
Versova Layout,4,3700,4
Whitefield,3,1660,3
Singena Agrahara,3,1500,3
Yeshwanthpur,2,1170,2
Hulimavu,2,1175,2
Ashwath Nagar,2,1262,2
Ramagondanahalli,3,1610,2
Kothannur,3,1275,3
kanakapura main road,2,1041,2
Banashankari,4,2500,4
Harlur,2,1033,2
Anekal,2,1200,2
Hebbal,4,2790,5
Hegde Nagar,3,1801,3
Electronic City,2,1128,2
Kanakpura Road,2,950,2
Hulimavu,1,581,1
Sarjapur  Road,4,4050,2
Panathur,2,1198,2
Hennur Road,3,2089,3
Hormavu,2,1400,2
Frazer Town,2,1200,2
Yelahanka,3,1275,2
Thanisandra,2,1265,2
Electronics City Phase 1,3,1900,3
Raja Rajeshwari Nagar,1,510,1
Garudachar Palya,2,1060,2
Raja Rajeshwari Nagar 5th Stage,2,1056,2
Mahadevpura,3,1720,3
Hebbal,4,3900,4
Kudlu Gate,2,1238,2
Hegde Nagar,2,1179,2
Narayanapura,2,1308,2
Whitefield,3,1806,3
Reliaable Tranquil Layout,2,1256,2
Whitefield,4,6000,4
Indira Nagar,2,1210,2
Dollars Layout,3,1460,3
Kengeri,4,2540,4
Vinayaka Nagar,2,1200,2
JP Nagar,3,1315,2
Raja Rajeshwari Nagar,2,1419,2
Kadugondanahalli,2,800,1
Hulimavu,2,1011,2
Horamavu Agara,2,760,2
OMBR Layout,3,600,3
RMV 2nd Stage,4,1150,4
Kudlu,2,1027,2
Electronic City,2,970,2
Lakshminarayana Pura,2,1200,2
Kanakpura Road,3,1150,2
Thigalarapalya,2,1418,2
Yeshwanthpur,1,668,1
Malleshwaram,2,1400,2
Kammagondahalli,6,2700,7
Nagarbhavi,3,1050,3
Indira Nagar,3,2200,3
Cooke Town,2,1710,2
Yelahanka New Town,1,450,1
Sarjapur  Road,3,1200,3
Bagalakunte,1,700,1
Jayanagar,2,900,2
Arasanakunte,5,1200,6
Brookefield,2,1089,2
Whitefield,3,1870,3
Nagarbhavi,3,600,2
Konanakunte Cross,2,1050,2
Vidyaranyapura,2,1175,2
Hennur Road,2,1015,2
Bande Nallasandra,3,2400,4
Jalahalli East,3,1475,3
Singasandra,2,1100,2
Whitefield,2,1173,2
7th Phase JP Nagar,2,1100,2
8th block Koramangala,2,1410,1
Bannerghatta Road,1,595,1
Attibele,1,460,1
Magadi Road,2,1345,2
Hennur Road,3,1552,3
Hebbal,2,1349,2
Dodda Nekkundi,2,1100,2
Tigalarpalya,2,1150,2
Panathur,2,1198,2
Rajarajeshwari Nagara,4,1200,5
Hebbal,4,2630,5
Devanahalli,2,1080,2
RMV Extension,3,1630,3
Hebbal Kempapura,3,1800,3
HBR Layout,3,1832,3
Sarjapur  Road,2,1346,2
Bannerghatta Road,2,793,2
Hebbal,3,1255,3
B Narayanapura,3,1092,2
Chandapura,3,1208,3
Dodsworth Layout,2,1400,2
Thigalarapalya,4,3122,6
Shanti Nagar,3,1602,2
Sarjapur,3,1575,3
Hebbal,2,1100,2
Sarjapur  Road,2,1026,2
KR Puram,2,1085,2
Ashirvad Colony,2,1000,2
Kereguddadahalli,2,1105,2
Garebhavipalya,2,1200,2
Thigalarapalya,3,2215,4
Indira Nagar,4,2400,4
Kodichikkanahalli,5,2500,7
Anjanapura,2,1076,2
Thanisandra,1,760,1
Gunjur,2,1063,2
Hebbal,3,1255,2
Frazer Town,3,1700,3
Kogilu,3,1664,2
Kadubeesanahalli,3,1365,3
Yelahanka,2,600,2
Virat Nagar,2,2080,2
New Thippasandra,3,1500,3
Roopena Agrahara,2,1050,2
Balagere,2,1012,2
Kasavanhalli,3,1819,3
kg halli jalhalli west,3,980,3
Hiremath Layout,3,1715,3
Battarahalli,3,1779,3
KR Puram,2,1000,2
Ramagondanahalli,3,1610,2
Kadubeesanahalli,2,1185,2
Bommanahalli,2,1020,2
Judicial Layout,3,2070,3
Begur Road,2,1200,2
Panathur,2,1000,2
"Banasawadi, ",3,2312,3
Jakkur,3,1396,2
1st Phase JP Nagar,3,2059,3
Binny Pete,3,2406,5
Whitefield,4,1344,3
Banashankari,5,500,5
Ullal Road,5,1200,5
Kenchenahalli,3,1280,2
1st Phase JP Nagar,2,1077,2
Dodda Nekkundi,2,1370,2
Electronic City,3,1360,2
R.T. Nagar,3,1500,2
Old Madras Road,4,3715,6
Gaurava Nagar,5,1650,6
Old Madras Road,2,1165,2
Varthur,2,1112,2
Kaikondrahalli,2,849,2
Electronic City Phase II,2,1252,2
Akshaya Nagar,2,900,2
Kamakshipalya,9,1800,9
Sarjapur  Road,2,1216,2
Lingadheeranahalli,3,1684,3
Mahalakshmi Puram,2,830,2
Electronic City,1,710,1
Hosa Road,3,1893,3
Devanahalli Int. Airport,2,1380,2
Karuna Nagar,3,1163,3
Anjanapura,1,600,2
Yelahanka,2,1274,2
Raja Rajeshwari Nagar,3,1570,3
Sarjapur  Road,5,3905,7
Thanisandra,3,1430,2
Thubarahalli,2,1216,2
"white field,kadugodi",6,2100,6
Marathahalli,3,1435,3
Whitefield,3,1720,3
Amruthahalli,2,4400,3
Malleshwaram,3,2250,3
Kengeri Satellite Town,1,930,1
9th Phase JP Nagar,2,1005,2
Kodihalli,2,1000,2
Sarakki Nagar,3,1840,4
,3,1600,3
Mallathahalli,2,1100,2
Basava Nagar,1,550,1
Poorna Pragna Layout,3,1270,2
Whitefield,3,1495,
Hoodi,8,1120,8
Yelahanka,1,654,1
Uttarahalli,2,1180,2
Bannerghatta Road,2,1200,2
Thigalarapalya,4,4303,5
Electronic City,3,1615,3
Amruthahalli,2,1190,2
9th Phase JP Nagar,8,800,8
Kirloskar Layout,3,1400,3
Bellandur,3,1138,3
Hennur,2,1255,2
Billekahalli,4,1672,3
Annaiah Reddy Layout,2,1075,2
Banaswadi,2,1250,2
NGR Layout,2,1022,2
Malleshwaram,1,480,1
Pulkeshi Nagar,2,1452.55,2
Sarjapur  Road,3,1787,3
BTM 1st Stage,9,3300,14
Thanisandra,3,1732,3
Sarvabhouma Nagar,5,1500,5
Whitefield,2,935,2
Manonarayanapalya,3,800,2
Raja Rajeshwari Nagar,1,600,1
Kanakpura Road,2,1110,2
Hosahalli Extension,2,360,2
Nagavarapalya,2,1392,2
Volagerekallahalli,2,1070,2
Ramagondanahalli,3,1475,2
8th Phase JP Nagar,3,950,3
HSR Layout,2,1140,2
8th Phase JP Nagar,9,1200,8
Banashankari Stage VI,3,600,3
7th Phase JP Nagar,4,1500,5
Shampura,2,1187,2
Yelahanka New Town,1,650,1
MS Pallya,3,1100,3
Raja Rajeshwari Nagar,2,1295,2
2nd Stage Nagarbhavi,3,600,5
Banjara Layout,5,1200,5
Sarjapur  Road,3,1592,3
JP Nagar,3,1500,2
Koramangala,4,1410,2
Haralur Road,2,1243,2
Kambipura,2,883,2
Gottigere,3,1304,3
Dinnur,6,1034,5
2nd Phase JP Nagar,3,2610,3
Kadugodi,3,1762,3
5th Phase JP Nagar,3,1350,2
Yelachenahalli,2,1200,2
Yeshwanthpur,2,1161,2
Kanaka Nagar,3,2274.24,4
Ambalipura,4,2750,4
Banashankari Stage V,3,1200,4
Kenchenahalli,2,870,1
Uttarahalli,3,1345,2
Bhuvaneshwari Nagar,2,1280,2
Banashankari,2,1077,2
Rustam Bagh Layout,3,1490,2
1st Block Koramangala,4,3000,5
Haralur Road,2,1300,2
Bannerghatta Road,2,1215,2
Electronic City,2,1100,2
Yelahanka,2,1170,2
Sanjay nagar,2,1000,2
Sarjapur  Road,3,1385,3
Yelachenahalli,3,1330,3
Electronic City Phase II,2,1020,2
Kalena Agrahara,2,1200,2
Yelahanka,4,2600,4
Kothanur,2,1455,2
Attibele,1,400,1
Raja Rajeshwari Nagar,3,1630,3
Hennur Road,4,2000,4
Sarjapur,4,4201,4
Bannerghatta Road,3,1365,3
Hegde Nagar,3,1703,3
Kanakpura Road,3,1450,3
Raja Rajeshwari Nagar,2,1165,2
Marasandra,4,5000,5
Sarjapur  Road,3,3009,3
Whitefield,2,1200,2
Yeshwanthpur,3,1430,3
Hosur Road,3,1427,2
CQAL LAYOUT C BLOCK,3,1200,3
Pampa Extension,2,1178,2
Rajaji Nagar,3,1621,3
Hennur Road,3,1703,3
Amruthnagar,2,1210,2
Thippasandra,1,660,1
Panathur,2,1195,2
Rayasandra,3,1458,3
Sonnenahalli,1,614.5,1
Virat Nagar,2,1110,2
Sahakara Nagar,4,1200,4
Karuna Nagar,3,2500,3
Ulsoor,3,450,3
Whitefield,2,1186,2
Kasavanhalli,4,1863,3
Haralur Road,2,1315,2
6th Phase JP Nagar,2,1180,2
Ramamurthy Nagar,2,1200,2
5th Block Jayanagar,1,1500,1
Kengeri,2,1155,2
Hanumanth Nagar,2,1225,2
Munnekollal,3,1222,3
Hennur Road,2,1085,2
Bannerghatta Road,2,1200,2
Nehru Nagar,3,1674,3
Kanakpura Road,3,1200,2
Chamrajpet,6,1500,9
Ramamurthy Nagar,3,1400,3
Chandapura,3,1185,2
Jakkur,3,1760,3
Tumkur Road,3,1343.5,3
Haralur Road,1,575,1
Sarjapur,4,3854.5,6
Electronic City,2,1128,2
Uttarahalli,2,1125,2
Iblur Village,2,1400,2
near Ramanashree California resort,6,3600,4
Pattanagere,2,850,2
Whitefield,4,2850,5
Hebbal,4,4235,4
Varthur,3,1615,3
Kasturi Nagar,5,1650,5
Banagiri Nagar,3,2008,3
Begur Road,3,1500,2
Kathriguppe,3,1250,2
Govindapura,2,1310,2
Anjanapura,3,1843,3
Near International Airport,2,1330,2
KR Puram,2,1550,2
Yelenahalli,2,1260,2
Green Glen Layout,3,1575,3
Sarjapura - Attibele Road,2,1308,2
Raja Rajeshwari Nagar,2,1306,2
Avalahalli,3,2045,3
NGR Layout,2,1021,2
Sarjapur  Road,3,2275,4
Talaghattapura,2,921,2
Thanisandra,3,1732,3
Nagavara,3,2430,4
Haralur Road,1,575,1
Choodasandra,2,1115,2
Tindlu,7,7500,7
Marathahalli,2,1125,2
Talaghattapura,3,2254,3
Harlur,3,1709,3
Marathahalli,3,1600,3
Sahakara Nagar,3,2400,3
Electronic City Phase II,3,1310,2
Jalahalli,3,1615,3
Anjanapura,3,1347,2
Doctors Layout,3,1450,3
Meenakunte,3,3900,3
Kodichikkanahalli,2,1025,2
Yelahanka,3,1282,2
Sarjapur  Road,3,1525,2
Seetharampalya,3,1500,3
Gollarapalya Hosahalli,3,1605,3
Horamavu Agara,2,1107.83,2
Rajaji Nagar,3,2533,3
Electronic City,2,975,2
Indira Nagar,4,2800,4
Yelahanka New Town,2,1100,2
Sree Narayana Nagar,3,1358,3
KR Puram,3,1559,3
Billekahalli,3,2400,3
Kodigehaali,2,1117,2
Hennur,2,1255,2
Ittamadu,5,1200,4
Vijinapura,2,1290,2
Uttarahalli,3,1345,2
Bagalakunte,2,1200,4
Akshaya Nagar,3,1476,3
 Rachenahalli,1,440,1
Thigalarapalya,3,2072,4
Bhuvaneshwari Nagar,2,1100,2
Chikkalasandra,5,1000,4
Anekal,2,1200,1
Peenya,2,708,1
Vasanth nagar,6,2295,3
Kudlu,4,2100,3
Chikkabanavar,2,1067,2
Maruthi Sevanagar,4,2000,3
Bellandur,2,1201,2
Bellandur,2,1251,2
Kambipura,3,1082,2
Marathahalli,2,1270,2
Mylasandra,1,500,2
Kammanahalli,4,2900,4
Chikkalasandra,3,1428,2
Chamrajpet,3,1565,3
7th Phase JP Nagar,3,1400,3
Hennur Road,2,1040,2
Anandapura,2,1200,2
Tindlu,2,1050,2
Whitefield,5,3453,4
Kothanur,2,1142,2
Kengeri Satellite Town,4,650,2
Sarjapur  Road,3,1700,3
Ramamurthy Nagar,5,3500,5
Hegde Nagar,3,1569,3
Hennur Road,3,2002,3
Ramakrishnappa Layout,3,2770,3
BTM Layout,6,3300,6
Whitefield,2,1400,2
Electronics City Phase 1,2,1175,2
Hennur Road,2,1030,2
Marsur,3,1000,4
Electronic City,2,1250,2
Yelahanka,2,870,2
Thanisandra,3,1690,3
Hebbal Kempapura,3,1466,2
Domlur,3,1540,3
Yelahanka,3,1835,3
Ambalipura,3,1817,3
8th Phase JP Nagar,1,500,1
Kengeri Satellite Town,2,635,1
Kundalahalli Colony,2,1280,2
Govindaraja Nagar Ward,2,840,2
Whitefield,2,1205,2
Kodigehaali,2,1166,2
Hongasandra,2,1180,2
Whitefield,2,1200,2
Kodbisanhalli,2,1012,2
Kanakpura Road,2,1332,2
Garudachar Palya,3,1320,2
Varthur,2,674,1
Dodda Nekkundi,2,1260,2
Mallasandra,3,1665,3
Kanakpura Road,3,1050,2
Akshya Nagar,2,1380,2
Kammanahalli,4,1600,4
Vyalikaval,2,1100,2
Jalahalli,3,980,2
NRI Layout,5,2500,5
HSR Layout,4,2500,4
Marathahalli,5,2500,3
Ilyas Nagar,4,600,3
Varsova Layout,6,7000,6
Raja Rajeshwari Nagar,2,1400,2
Raja Rajeshwari Nagar,2,1143,2
Vijayanagar,2,1200,2
Kodbisanhalli,4,4800,5
Doddathoguru,2,1105,2
Chellikere,2,1088,2
Kumarapalli,3,1488,2
Koramangala,2,1084,2
Thigalarapalya,2,1418,2
Kenchenahalli,3,480,3
Hennur Road,3,1482,2
Whitefield,2,1140,2
Haralur Road,3,2017,2
Battarahalli,2,1090,2
Kothnoor Dinne,2,1200,2
Shikaripalya,2,1025,2
Sarjapura - Attibele Road,5,3750,6
Bisuvanahalli,3,1080,2
Poorna Pragna Layout,2,1160,2
Sarjapur  Road,2,1067,2
Thigalarapalya,2,1418,2
Balagere,2,1210,2
Sarjapur  Road,3,1846,3
Sarjapur  Road,2,1320,2
Nrupathunga Nagar,7,1200,5
Lakshminarayana Pura,3,3050,2
Iblur Village,3,2666,4
JP Nagar,2,1300,2
Balaji Gardens Layout,1,825,2
Nallurhalli,2,1250,2
Singanayakanahalli,3,1500,2
Whitefield,3,2225,3
Hebbal Kempapura,4,1200,3
Sarjapur  Road,2,1320,2
Sompura,4,2150,3
S R Layout,2,1096,2
Banashankari Stage III,3,1480,3
Jp nagar 8th Phase .,10,12000,12
Gottigere,2,1170,2
Dodda Nekkundi,2,1148,2
Cox Town,2,1280,2
Harlur,3,1755,3
Begur Road,2,1215,2
P&T Layout,2,935,2
Uttarahalli,3,1590,3
Kudlu,2,1162,2
Whitefield,2,1240,2
Jigani,2,918,2
Nagappa Reddy Layout,2,1100,2
Varthur,2,986,2
Veerannapalya,2,950,2
Lingadheeranahalli,3,1530,2
Margondanahalli,2,1140,2
Kattigenahalli,7,4100,7
Balagere,2,1205,2
Whitefield,2,1355,3
Bisuvanahalli,2,945,2
Yelahanka New Town,2,860,1
Whitefield,4,2155,3
Sarjapur  Road,2,1115,2
Horamavu Agara,2,755,2
Kodigehaali,4,1200,4
Maragondanahalli,2,720,2
Raja Rajeshwari Nagar,2,1100,2
Richmond Town,3,1100,2
7th Phase JP Nagar,8,1200,8
Hennur Road,2,1232,2
Begur Road,2,1160,2
Basaveshwara Nagar,8,1230,6
1st Stage Indira Nagar,4,3000,4
Rajaji Nagar,2,1718,3
Kasavanhalli,2,1200,2
Ramamurthy Nagar,4,886,4
Kengeri,2,1160,2
7th Phase JP Nagar,2,1130,2
Vasantha Vallabha Nagar,3,1600,3
Vidyaranyapura,2,1188,2
Raja Rajeshwari Nagar,3,1560,2
Jalahalli,2,1083,2
Amblipura,3,1300,2
Whitefield,2,1125,2
Yeshwanthpur,5,850,4
Electronic City,3,1320,2
Jigani,3,1221,3
Jigani,2,914,2
Haralur Road,2,1140,2
Whitefield,2,1140,2
Doopanahalli,3,1625,3
Hormavu,3,1365,2
Kanakpura Road,3,1610,2
Horamavu Agara,2,1213,2
Cholanayakanahalli,3,1370,2
Sarjapur,3,3009,3
Hormavu,2,1310,2
Poorna Pragna Layout,2,920,2
Karnataka Shabarimala,4,1200,6
Kengeri Satellite Town,4,4100,3
7th Phase JP Nagar,3,1370,2
Akshya Nagar,3,1320,2
Daadys Gaarden Layout,3,1740,3
SK Garden,6,1850,3
Marathahalli,2,1200,2
Sarjapur  Road,2,1019,2
JP Nagar,2,1250,2
TC Palaya,3,1200,3
Cox Town,3,1730,3
Whitefield,3,1740,3
Anekal,2,1035,2
Budigere,3,1636,3
Kanakpura Road,3,1450,3
Vadarpalya,3,1750,3
BTM Layout,3,1470,2
OLd Gurappanapalya,3,1250,3
Uttarahalli,3,1560,3
Devanahalli,4,2400,5
Vijayanagar,3,1520,2
Bhoganhalli,2,1205,2
Bhoganhalli,2,910.2,2
2nd Phase Judicial Layout,2,1150,2
Neelasandra,4,1140,3
Vidyaranyapura,3,1440,2
Chandapura,3,1162.5,
Indira Nagar,4,2400,5
Hennur Road,3,1933,3
Whitefield,2,1200,2
Vittasandra,2,1404,2
Electronic City,2,1165,2
Haralur Road,3,1850,3
Haralur Road,2,1225,2
Hennur Road,2,1359,2
Harlur,2,1225,2
Thanisandra,3,1370,2
Balagere,1,675,1
Hormavu,2,1310,2
Balagere,2,1007,2
Mysore Road,3,1340,2
Kothannur,2,1070,2
Yelahanka,3,1620,3
6th block Koramangala,3,2350,3
Kothanur,4,1140,4
Kanakpura Road,1,525,
Rajiv Nagar,4,2330,5
EPIP Zone,3,2210,3
KR Puram,4,3000,4
Marathahalli,3,1530,3
Sarjapur  Road,3,1814,3
Bharathi Nagar,2,1384,2
Hegde Nagar,3,1801,3
Mico Layout,2,1190,2
Peenya,5,1440,5
Haralur Road,2,1027,2
Banashankari,3,3580,3
Pai Layout,2,1400,2
Adityanagar,5,875,5
CV Raman Nagar,2,1040,2
Whitefield,2,1270,2
Harlur,2,1200,2
Binny Pete,3,1282,3
Whitefield,3,1870,3
Kodathi,2,829,2
Mahadevpura,2,1192,2
Hormavu,2,1180,2
Begur Road,2,1160,2
Marathahalli,2,1360,2
Electronic City Phase II,2,911,2
R.T. Nagar,9,1200,10
Marathahalli,3,1350,3
TC Palaya,3,1200,2
Bellandur,3,1767,3
Kathreguppe,8,1200,8
7th Phase JP Nagar,4,2503,4
Sarjapur  Road,2,1367,2
Yelahanka,2,1362,2
TC Palaya,2,1200,2
Budigere,3,1636,3
Kasavanhalli,2,1230,2
Rajaji Nagar,3,1640,3
Gopalapura,4,3179,5
Hegde Nagar,3,1584.01,3
Sarjapur  Road,3,1525,2
Badavala Nagar,2,1274,2
Rajaji Nagar,3,2300,3
Malleshwaram,3,2475,4
Bisuvanahalli,2,845,2
Haralur Road,4,2805,4
Ashwathnagar,3,2204,2
Whitefield,3,1396,3
Hennur Road,3,2047,3
Kudlu,2,1143,2
Whitefield,3,1200,3
Kanakpura Road,2,2200,2
Anekal,2,888,2
3rd Phase Iti Layout,2,1145,2
Whitefield,2,1250,2
Hormavu,2,1018,2
Sahakara Nagar,2,1180,2
Wajid layout thanisandra,4,3000,5
Whitefield,4,5000,4
Hennur Road,2,1165,2
Jalahalli,1,600,1
ISRO Layout,2,1000,2
Begur Road,3,1410,2
Whitefield,2,1216,2
RK Colony,9,1200,9
Babusapalaya,3,1213,2
Tejaswini Nagar,3,1560,3
Himagiri Meadows,4,1350,4
Attibele,2,1200,2
Lingadheeranahalli,3,1894,4
9th Phase JP Nagar,1,600,1
Konanakunte,9,1590,6
Banashankari,2,1200,2
Yelahanka,6,1200,5
Kanakapura,2,1020,2
Whitefield,3,4800,4
Whitefield,2,1096,2
Yeshwanthpur,3,1852,3
Chandapura,3,1208.51,3
Malleshpalya,2,1421,2
Hulimavu,4,2000,4
Nelamangala,4,1470,4
Babusapalaya,2,1084,2
Banashankari Stage III,3,1305,2
Pampa Extension,2,993,2
Kothanur,2,1185,2
Jigani,3,1300,3
Kothannur,2,1197,2
Whitefield,2,1109,2
OMBR Layout,4,3400,4
8th Phase JP Nagar,6,1200,6
Silver Springs Layout,3,1550,2
Marathahalli,2,1102,2
Lakshminarayana Pura,3,1750,3
Uttarahalli,2,1101,2
Somasundara Palya,2,1186,2
Ramamurthy Nagar Extension,2,1185,2
Bannerghatta Road,3,1427,2
