location,size,total_sqft,bath,price
Mahadevpura,3.0,1720.0,3.0,78.0
Hebbal,4.0,3900.0,4.0,410.0
Kudlu Gate,2.0,1238.0,2.0,55.0
Hegde Nagar,2.0,1179.0,2.0,49.35
Narayanapura,2.0,1308.0,2.0,89.04
Whitefield,3.0,1806.0,3.0,85.0
Reliaable Tranquil Layout,2.0,1256.0,2.0,65.0
Whitefield,4.0,6000.0,4.0,410.0
Indira Nagar,2.0,1210.0,2.0,102.0
Dollars Layout,3.0,1460.0,3.0,88.0
Kengeri,4.0,2540.0,4.0,160.0
Vinayaka Nagar,2.0,1200.0,2.0,52.0
JP Nagar,3.0,1315.0,2.0,85.4
Raja Rajeshwari Nagar,2.0,1419.0,2.0,48.0
Kadugondanahalli,2.0,800.0,1.0,45.0
Hulimavu,2.0,1011.0,2.0,38.0
Horamavu Agara,2.0,760.0,2.0,37.49
OMBR Layout,3.0,600.0,3.0,100.0
RMV 2nd Stage,4.0,1150.0,4.0,260.0
Kudlu,2.0,1027.0,2.0,43.0
Electronic City,2.0,970.0,2.0,35.0
Lakshminarayana Pura,2.0,1200.0,2.0,80.0
Kanakpura Road,3.0,1150.0,2.0,40.25
Thigalarapalya,2.0,1418.0,2.0,105.0
Yeshwanthpur,1.0,668.0,1.0,36.85
Malleshwaram,2.0,1400.0,2.0,190.0
Kammagondahalli,6.0,2700.0,7.0,110.0
Nagarbhavi,3.0,1050.0,3.0,175.0
Indira Nagar,3.0,2200.0,3.0,160.0
Cooke Town,2.0,1710.0,2.0,200.0
Yelahanka New Town,1.0,450.0,1.0,15.0
Sarjapur  Road,3.0,1200.0,3.0,95.0
Bagalakunte,1.0,700.0,1.0,162.0
Jayanagar,2.0,900.0,2.0,110.0
Arasanakunte,5.0,1200.0,6.0,137.0
Brookefield,2.0,1089.0,2.0,49.0
Whitefield,3.0,1870.0,3.0,90.0
Nagarbhavi,3.0,600.0,2.0,80.0
Konanakunte Cross,2.0,1050.0,2.0,35.0
Vidyaranyapura,2.0,1175.0,2.0,35.0
Hennur Road,2.0,1015.0,2.0,50.0
Bande Nallasandra,3.0,2400.0,4.0,130.0
Jalahalli East,3.0,1475.0,3.0,96.0
Singasandra,2.0,1100.0,2.0,52.0
Whitefield,2.0,1173.0,2.0,78.2
7th Phase JP Nagar,2.0,1100.0,2.0,46.0
8th block Koramangala,2.0,1410.0,1.0,233.0
Bannerghatta Road,1.0,595.0,1.0,31.83
Attibele,1.0,460.0,1.0,13.0
Magadi Road,2.0,1345.0,2.0,55.0
Hennur Road,3.0,1552.0,3.0,75.0
Hebbal,2.0,1349.0,2.0,98.0
Dodda Nekkundi,2.0,1100.0,2.0,41.15
Tigalarpalya,2.0,1150.0,2.0,60.0
Panathur,2.0,1198.0,2.0,86.26
Rajarajeshwari Nagara,4.0,1200.0,5.0,325.0
Hebbal,4.0,2630.0,5.0,188.0
Devanahalli,2.0,1080.0,2.0,44.0
RMV Extension,3.0,1630.0,3.0,85.0
Hebbal Kempapura,3.0,1800.0,3.0,175.0
HBR Layout,3.0,1832.0,3.0,160.0
Sarjapur  Road,2.0,1346.0,2.0,71.32
Bannerghatta Road,2.0,793.0,2.0,45.0
Hebbal,3.0,1255.0,3.0,77.68
B Narayanapura,3.0,1092.0,2.0,98.5
Chandapura,3.0,1208.0,3.0,45.0
Dodsworth Layout,2.0,1400.0,2.0,85.0
Thigalarapalya,4.0,3122.0,6.0,235.0
Shanti Nagar,3.0,1602.0,2.0,170.0
Sarjapur,3.0,1575.0,3.0,55.0
Hebbal,2.0,1100.0,2.0,54.0
Sarjapur  Road,2.0,1026.0,2.0,60.8
KR Puram,2.0,1085.0,2.0,46.5
Ashirvad Colony,2.0,1000.0,2.0,53.0
Kereguddadahalli,2.0,1105.0,2.0,27.6
Garebhavipalya,2.0,1200.0,2.0,75.0
Thigalarapalya,3.0,2215.0,4.0,150.0
Indira Nagar,4.0,2400.0,4.0,405.0
Kodichikkanahalli,5.0,2500.0,7.0,125.0
Anjanapura,2.0,1076.0,2.0,30.13
Thanisandra,1.0,760.0,1.0,50.3
Gunjur,2.0,1063.0,2.0,40.0
Hebbal,3.0,1255.0,2.0,77.68
Frazer Town,3.0,1700.0,3.0,180.0
Kogilu,3.0,1664.0,2.0,73.95
Kadubeesanahalli,3.0,1365.0,3.0,80.0
Yelahanka,2.0,600.0,2.0,27.0
Virat Nagar,2.0,2080.0,2.0,150.0
New Thippasandra,3.0,1500.0,3.0,95.0
Roopena Agrahara,2.0,1050.0,2.0,67.0
Balagere,2.0,1012.0,2.0,68.0
Kasavanhalli,3.0,1819.0,3.0,150.0
kg halli jalhalli west,3.0,980.0,3.0,80.0
Hiremath Layout,3.0,1715.0,3.0,95.0
Battarahalli,3.0,1779.0,3.0,90.0
KR Puram,2.0,1000.0,2.0,60.0
Ramagondanahalli,3.0,1610.0,2.0,115.0
Kadubeesanahalli,2.0,1185.0,2.0,55.0
Bommanahalli,2.0,1020.0,2.0,55.0
Judicial Layout,3.0,2070.0,3.0,162.0
Begur Road,2.0,1200.0,2.0,45.0
Panathur,2.0,1000.0,2.0,68.0
"Banasawadi, ",3.0,2312.0,3.0,156.0
Jakkur,3.0,1396.0,2.0,86.51
1st Phase JP Nagar,3.0,2059.0,3.0,225.0
Binny Pete,3.0,2406.0,5.0,289.0
Whitefield,4.0,1344.0,3.0,130.0
Banashankari,5.0,500.0,5.0,92.0
Ullal Road,5.0,1200.0,5.0,235.0
Kenchenahalli,3.0,1280.0,2.0,69.0
1st Phase JP Nagar,2.0,1077.0,2.0,93.0
Dodda Nekkundi,2.0,1370.0,2.0,60.0
Electronic City,3.0,1360.0,2.0,58.0
R.T. Nagar,3.0,1500.0,2.0,70.0
Old Madras Road,4.0,3715.0,6.0,200.5
Gaurava Nagar,5.0,1650.0,6.0,200.0
Old Madras Road,2.0,1165.0,2.0,51.42
Varthur,2.0,1112.0,2.0,40.0
Kaikondrahalli,2.0,849.0,2.0,25.4
Electronic City Phase II,2.0,1252.0,2.0,67.0
Akshaya Nagar,2.0,900.0,2.0,45.0
Kamakshipalya,9.0,1800.0,9.0,180.0
Sarjapur  Road,2.0,1216.0,2.0,70.0
Lingadheeranahalli,3.0,1684.0,3.0,120.0
Mahalakshmi Puram,2.0,830.0,2.0,60.0
Electronic City,1.0,710.0,1.0,40.42
Hosa Road,3.0,1893.0,3.0,130.0
Devanahalli Int. Airport,2.0,1380.0,2.0,80.0
Karuna Nagar,3.0,1163.0,3.0,180.0
Anjanapura,1.0,600.0,2.0,55.0
Yelahanka,2.0,1274.0,2.0,48.42
Raja Rajeshwari Nagar,3.0,1570.0,3.0,88.0
Sarjapur  Road,5.0,3905.0,7.0,290.0
Thanisandra,3.0,1430.0,2.0,56.0
Thubarahalli,2.0,1216.0,2.0,80.0
"white field,kadugodi",6.0,2100.0,6.0,275.0
Marathahalli,3.0,1435.0,3.0,73.0
Whitefield,3.0,1720.0,3.0,100.0
Amruthahalli,2.0,4400.0,3.0,475.0
Malleshwaram,3.0,2250.0,3.0,200.0
Kengeri Satellite Town,1.0,930.0,1.0,30.0
9th Phase JP Nagar,2.0,1005.0,2.0,43.0
Kodihalli,2.0,1000.0,2.0,62.0
Sarakki Nagar,3.0,1840.0,4.0,175.0
,3.0,1600.0,3.0,86.0
Mallathahalli,2.0,1100.0,2.0,46.0
Basava Nagar,1.0,550.0,1.0,16.0
Poorna Pragna Layout,3.0,1270.0,2.0,50.79
Whitefield,3.0,1495.0,,61.28
Hoodi,8.0,1120.0,8.0,145.0
Yelahanka,1.0,654.0,1.0,36.25
Uttarahalli,2.0,1180.0,2.0,41.3
Bannerghatta Road,2.0,1200.0,2.0,65.0
Thigalarapalya,4.0,4303.0,5.0,300.0
Electronic City,3.0,1615.0,3.0,97.0
Amruthahalli,2.0,1190.0,2.0,50.0
9th Phase JP Nagar,8.0,800.0,8.0,140.0
Kirloskar Layout,3.0,1400.0,3.0,35.0
Bellandur,3.0,1138.0,3.0,128.0
Hennur,2.0,1255.0,2.0,57.5
Billekahalli,4.0,1672.0,3.0,190.0
Annaiah Reddy Layout,2.0,1075.0,2.0,48.0
Banaswadi,2.0,1250.0,2.0,60.0
NGR Layout,2.0,1022.0,2.0,45.9
Malleshwaram,1.0,480.0,1.0,60.0
Pulkeshi Nagar,2.0,1452.55,2.0,110.0
Sarjapur  Road,3.0,1787.0,3.0,98.29
BTM 1st Stage,9.0,3300.0,14.0,500.0
Thanisandra,3.0,1732.0,3.0,85.73
Sarvabhouma Nagar,5.0,1500.0,5.0,210.0
Whitefield,2.0,935.0,2.0,32.72
Manonarayanapalya,3.0,800.0,2.0,52.0
Raja Rajeshwari Nagar,1.0,600.0,1.0,22.0
Kanakpura Road,2.0,1110.0,2.0,43.0
Hosahalli Extension,2.0,360.0,2.0,40.0
Nagavarapalya,2.0,1392.0,2.0,130.0
Volagerekallahalli,2.0,1070.0,2.0,33.43
Ramagondanahalli,3.0,1475.0,2.0,63.0
8th Phase JP Nagar,3.0,950.0,3.0,130.0
HSR Layout,2.0,1140.0,2.0,46.0
8th Phase JP Nagar,9.0,1200.0,8.0,225.0
Banashankari Stage VI,3.0,600.0,3.0,90.0
7th Phase JP Nagar,4.0,1500.0,5.0,220.0
Shampura,2.0,1187.0,2.0,42.0
Yelahanka New Town,1.0,650.0,1.0,20.0
MS Pallya,3.0,1100.0,3.0,78.0
Raja Rajeshwari Nagar,2.0,1295.0,2.0,70.0
2nd Stage Nagarbhavi,3.0,600.0,5.0,135.0
Banjara Layout,5.0,1200.0,5.0,96.0
Sarjapur  Road,3.0,1592.0,3.0,91.0
JP Nagar,3.0,1500.0,2.0,108.0
Koramangala,4.0,1410.0,2.0,280.0
Haralur Road,2.0,1243.0,2.0,46.0
Kambipura,2.0,883.0,2.0,45.0
Gottigere,3.0,1304.0,3.0,80.0
Dinnur,6.0,1034.0,5.0,185.0
2nd Phase JP Nagar,3.0,2610.0,3.0,499.0
Kadugodi,3.0,1762.0,3.0,109.0
5th Phase JP Nagar,3.0,1350.0,2.0,75.0
Yelachenahalli,2.0,1200.0,2.0,160.0
Yeshwanthpur,2.0,1161.0,2.0,64.08
Kanaka Nagar,3.0,2274.24,4.0,160.0
Ambalipura,4.0,2750.0,4.0,142.0
Banashankari Stage V,3.0,1200.0,4.0,240.0
Kenchenahalli,2.0,870.0,1.0,45.0
Uttarahalli,3.0,1345.0,2.0,57.0
Bhuvaneshwari Nagar,2.0,1280.0,2.0,68.48
Banashankari,2.0,1077.0,2.0,37.64
Rustam Bagh Layout,3.0,1490.0,2.0,88.0
1st Block Koramangala,4.0,3000.0,5.0,500.0
Haralur Road,2.0,1300.0,2.0,73.0
Bannerghatta Road,2.0,1215.0,2.0,68.0
Electronic City,2.0,1100.0,2.0,41.0
Yelahanka,2.0,1170.0,2.0,62.5
Sanjay nagar,2.0,1000.0,2.0,70.0
Sarjapur  Road,3.0,1385.0,3.0,55.0
Yelachenahalli,3.0,1330.0,3.0,73.5
Electronic City Phase II,2.0,1020.0,2.0,32.0
Kalena Agrahara,2.0,1200.0,2.0,50.0
Yelahanka,4.0,2600.0,4.0,175.0
Kothanur,2.0,1455.0,2.0,69.0
Attibele,1.0,400.0,1.0,10.25
Raja Rajeshwari Nagar,3.0,1630.0,3.0,60.65
Hennur Road,4.0,2000.0,4.0,90.0
Sarjapur,4.0,4201.0,4.0,435.0
Bannerghatta Road,3.0,1365.0,3.0,76.18
Hegde Nagar,3.0,1703.0,3.0,113.0
Kanakpura Road,3.0,1450.0,3.0,56.0
Raja Rajeshwari Nagar,2.0,1165.0,2.0,45.0
Marasandra,4.0,5000.0,5.0,300.0
Sarjapur  Road,3.0,3009.0,3.0,331.0
Whitefield,2.0,1200.0,2.0,45.0
Yeshwanthpur,3.0,1430.0,3.0,72.0
Hosur Road,3.0,1427.0,2.0,130.0
CQAL LAYOUT C BLOCK,3.0,1200.0,3.0,160.0
Pampa Extension,2.0,1178.0,2.0,80.0
Rajaji Nagar,3.0,1621.0,3.0,124.0
Hennur Road,3.0,1703.0,3.0,101.0
Amruthnagar,2.0,1210.0,2.0,72.0
Thippasandra,1.0,660.0,1.0,30.0
Panathur,2.0,1195.0,2.0,84.0
Rayasandra,3.0,1458.0,3.0,60.0
Sonnenahalli,1.0,614.5,1.0,30.715
Virat Nagar,2.0,1110.0,2.0,52.0
Sahakara Nagar,4.0,1200.0,4.0,130.0
Karuna Nagar,3.0,2500.0,3.0,180.0
Ulsoor,3.0,450.0,3.0,70.0
Whitefield,2.0,1186.0,2.0,55.0
Kasavanhalli,4.0,1863.0,3.0,105.0
Haralur Road,2.0,1315.0,2.0,85.0
6th Phase JP Nagar,2.0,1180.0,2.0,80.0
Ramamurthy Nagar,2.0,1200.0,2.0,57.9
5th Block Jayanagar,1.0,1500.0,1.0,300.0
Kengeri,2.0,1155.0,2.0,40.6
Hanumanth Nagar,2.0,1225.0,2.0,55.11
Munnekollal,3.0,1222.0,3.0,95.0
Hennur Road,2.0,1085.0,2.0,43.4
Bannerghatta Road,2.0,1200.0,2.0,78.0
Nehru Nagar,3.0,1674.0,3.0,81.0
Kanakpura Road,3.0,1200.0,2.0,42.0
Chamrajpet,6.0,1500.0,9.0,230.0
Ramamurthy Nagar,3.0,1400.0,3.0,200.0
Chandapura,3.0,1185.0,2.0,30.22
Jakkur,3.0,1760.0,3.0,110.0
Tumkur Road,3.0,1343.5,3.0,57.76
