location,size,total_sqft,bath,predicted_price
3rd Block Hrbr Layout,5,1200.0,5.0,13843500.0
Kanakpura Road,1,458.0,1.0,2545649.8123760917
Electronic City Phase II,2,1031.0,2.0,5387167.841269841
Sarjapur  Road,3,1220.0,3.0,5924550.0
Sarakki Nagar,3,2289.0,3.0,18366000.0
Hosur Road,2,1345.0,2.0,10514485.238095235
7th Phase JP Nagar,2,1050.0,2.0,5978679.523809525
Begur Road,3,1565.0,2.0,6921700.0
Brookefield,4,3050.0,4.0,23377472.222222224
JP Nagar,2,1152.0,2.0,7306050.666666668
Chandapura,2,1200.0,2.0,4500133.333333333
Hennur,4,2557.0,,17998333.333333336
Green Glen Layout,3,1625.0,3.0,8921000.0
Anand nagar,3,2010.0,3.0,12844714.285714285
Byrasandra,2,1140.0,2.0,4748474.507326008
Madiwala,2,1165.0,2.0,4863210.0
Ejipura,2,1200.0,2.0,6371972.857142857
Marathahalli,2,1200.0,2.0,7447655.158730161
Marathahalli,2,1220.0,2.0,5919446.666666666
Milk Colony,4,1200.0,4.0,11855000.0
Anwar Layout,1,720.0,1.0,3269427.0
Reliaable Tranquil Layout,3,1508.0,3.0,7583750.0
Haralur Road,3,1560.0,3.0,8386836.666666666
Electronic City,2,1353.0,2.0,7973086.666666666
Kenchenahalli,2,1015.0,2.0,5384807.5
KR Garden,2,1300.0,2.0,6745426.666666666
Hennur Road,3,1949.0,3.0,12724420.0
Raja Rajeshwari Nagar,2,1095.0,2.0,4231157.964285714
Mysore Road,3,1360.0,3.0,6596715.0
Doddabommasandra,3,1550.0,2.0,8043713.333333332
Balagere,2,1205.0,2.0,7708118.507936508
1st Phase JP Nagar,8,1200.0,7.0,18580000.0
Parappana Agrahara,2,1194.0,2.0,4652923.3155990895
Kanakapura,2,1283.0,2.0,6702290.0
Hoodi,2,1257.0,2.0,6899090.714285714
Pattandur Agrahara,3,1550.0,2.0,7999860.0
tc.palya,2,1000.0,2.0,4819925.0
Chandapura,2,900.0,2.0,3612461.666666666
Haralur Road,2,1092.0,2.0,4793583.333333333
Narayana Nagar 1st Block,2,1202.0,2.0,6116385.714285715
Electronic City,3,1644.0,3.0,9450500.0
Sarjapur  Road,2,1117.0,2.0,6011800.0
Ramamurthy Nagar,2,1050.0,2.0,5001880.0
Kengeri Satellite Town,2,800.0,2.0,3341540.0
Anekal,2,1200.0,1.0,3618200.0
Sarjapur  Road,3,1565.0,3.0,10725116.666666664
Subramanyapura,2,960.0,2.0,4363330.0
Sarjapur,3,1333.0,3.0,6790750.0
Sonnenahalli,3,1484.0,3.0,7911660.0
JP Nagar,4,3200.0,5.0,24001900.0
Dasanapura,2,965.0,2.0,4465283.333333333
Nagarbhavi,3,1350.0,3.0,15893333.333333336
Chikkalasandra,3,1290.0,2.0,6176611.785714285
Kothanur,2,1075.0,2.0,5281890.0
Electronic City,2,1025.0,2.0,5377833.968253967
Sarjapur  Road,2,1045.0,2.0,5789425.0
Gowdanapalya,1,510.0,1.0,2378185.833333333
Raja Rajeshwari Nagar,2,1306.0,2.0,5312163.261904762
Lakshminarayana Pura,2,1210.0,2.0,7569169.047619048
Kanakpura Road,3,1495.0,2.0,8548342.943722941
Badavala Nagar,3,1842.0,3.0,11474000.0
Koppa,3,720.0,3.0,6939508.333333334
Electronic City,3,1500.0,2.0,7634638.917230644
Kothanur,3,1828.0,3.0,10744083.333333332
Raja Rajeshwari Nagar,2,1260.0,2.0,6028692.0
Maruthi nagar kogilu,2,1200.0,3.0,5674470.0
Subramanyapura,3,1245.0,2.0,6888765.258799171
Rajaji Nagar,5,2500.0,4.0,38885833.33333333
Hennur Road,2,1480.0,2.0,8157554.25
Hebbal,3,1110.0,3.0,5910600.0
Old Madras Road,3,2266.0,3.0,15250925.000000002
Kambipura,2,883.0,2.0,4095635.5457966537
Marathahalli,3,1595.0,3.0,9333921.428571427
Electronics City Phase 1,3,1330.0,2.0,5539076.190476191
Pai Layout,2,1050.0,2.0,4554623.75
Bellandur,3,2000.0,3.0,11068000.0
Kadugodi,2,1394.0,2.0,7265355.0
Electronic City,1,635.0,1.0,3448383.376068377
Vittasandra,2,1246.0,2.0,6637257.9162901165
Abbigere,5,1200.0,4.0,11440500.0
Rajiv Gandhi Nagar,3,1750.0,3.0,11634283.333333332
Malleshwaram,4,2500.0,5.0,36541150.0
Ramamurthy Nagar,2,1000.0,2.0,5047535.0
Kogilu,3,1559.0,3.0,10795920.0
Kanakpura Road,3,1452.0,3.0,7269792.333333332
Sarjapur  Road,3,1380.0,2.0,7174105.166666666
Kanakpura Road,3,1550.0,3.0,8777553.333333334
Dodda Nekkundi,2,1315.0,2.0,6941161.666666666
Ramamurthy Nagar,2,1050.0,2.0,5001880.0
Subramanyapura,3,2495.0,3.0,15554000.0
Attibele,1,418.0,1.0,1476413.0952380951
Sarjapura - Attibele Road,3,2400.0,3.0,17602000.0
HMT Layout,3,1650.0,3.0,9768951.666666666
Keshava Nagar,2,1279.0,2.0,6081323.333333332
Uttarahalli,3,1360.0,2.0,6102518.809523809
Dasanapura,2,966.0,2.0,4624856.666666667
Basapura,2,1100.0,2.0,5990688.095238097
Kalkere Channasandra,2,1200.0,2.0,5297615.714285715
Kengeri,1,600.0,1.0,2148240.0
Jigani,3,1231.0,3.0,7756740.0
Sarjapur  Road,3,1770.0,3.0,10449668.333333334
Varthur,2,1111.0,2.0,4288620.0
Hebbal,3,2400.0,4.0,18572885.714285716
Munnekollal,2,950.0,2.0,4455620.0
6th Phase JP Nagar,2,1140.0,2.0,4867142.840659341
Hebbal,3,2600.0,3.0,19976500.0
Old Madras Road,3,2266.0,3.0,15250925.000000002
Jakkur,3,1710.0,3.0,11124780.0
2nd Phase JP Nagar,3,1200.0,3.0,7086213.785714286
HSR Layout,4,2400.0,4.0,15964202.38095238
Yelahanka,3,1705.0,3.0,8916834.285714285
Bhoganhalli,3,1718.0,3.0,12303318.333333336
Hegde Nagar,3,1884.0,4.0,11992083.333333336
Electronic City Phase II,2,1000.0,2.0,2848077.153846154
Hennur,2,1100.0,2.0,5267950.0
Marathahalli,2,1350.0,2.0,7664647.142857143
Raja Rajeshwari Nagar,3,1850.0,3.0,12773357.142857142
"Basnashankari,6th stage,",3,600.0,3.0,7521733.333333332
BTM 1st Stage,3,1717.0,3.0,11748150.0
Kumaraswami Layout,4,2600.0,4.0,25138000.0
Rajaji Nagar,3,1640.0,3.0,24429915.079365086
Telecom Layout,2,1200.0,2.0,5340472.857142857
1st Phase JP Nagar,4,2825.0,4.0,22281685.714285716
Hebbal,3,1586.0,3.0,10413728.197913198
Sarjapur  Road,3,1450.0,2.0,9200320.000000002
Yelahanka,2,1023.0,2.0,4395797.5
Laggere,8,1800.0,8.0,14409500.0
Mallathahalli,2,1200.0,2.0,5297615.714285715
Raja Rajeshwari Nagar,3,1608.0,3.0,7981940.0
Kundalahalli,3,1800.0,3.0,11232829.365079368
Hennur Road,2,1385.0,2.0,7544850.0
Bannerghatta,2,1113.0,2.0,5055500.0
BTM 1st Stage,4,1100.0,5.0,16551500.0
Thanisandra main road,3,3144.0,3.0,24805857.14285714
Hennur Road,3,1100.0,2.0,6210016.515151515
Bannerghatta,4,810.0,4.0,10213000.0
Kaggadasapura,2,1110.0,2.0,4273829.773809523
Hosa Road,2,1040.0,2.0,5925327.571428571
Balagere,2,1007.0,2.0,6707635.238095238
Gunjur,2,1235.0,2.0,5522229.545454545
Thubarahalli,3,1885.0,3.0,12155573.809523812
Kasavanhalli,2,1200.0,2.0,5113683.571428571
Ulsoor,4,36000.0,4.0,168024000.0
Raja Rajeshwari Nagar,2,1255.0,2.0,6273915.541666666
Subramanyapura,3,1400.0,2.0,7195645.0
Kanakpura Road,3,1843.0,3.0,11439333.333333332
Thanisandra,3,1588.0,3.0,10394663.095238091
Sahakara Nagar,2,1150.0,2.0,5019267.916666667
Kanakpura Road,2,1309.0,2.0,9019235.690476192
Yelahanka,2,1322.0,2.0,8137456.666666666
Kanakpura Road,1,458.0,1.0,2545649.8123760917
Koramangala,3,1594.0,3.0,18636000.0
Bommanahalli,3,1850.0,3.0,12773357.142857142
Kanakpura Road,2,1331.0,2.0,9502845.0
Kammasandra,2,990.0,2.0,2844210.0
Dommasandra,2,674.0,1.0,2766142.380952381
Varthur,3,2145.0,3.0,17296916.666666664
Gottigere,2,1200.0,2.0,6918802.857142857
Varthur Road,2,1033.0,2.0,4804668.888888889
Uttarahalli,2,1120.0,2.0,4823369.543650795
CV Raman Nagar,3,1659.0,3.0,9308387.619047618
 Mysore Highway,3,1450.0,2.0,8256288.333333334
Bellandur,2,1250.0,2.0,5795427.619047619
Thanisandra,3,1595.0,3.0,10296484.523809519
"Thanisandra Main Road, ",4,2872.0,4.0,22338419.04761905
Outer Ring Road East,3,1738.0,3.0,11135926.19047619
Kanakpura Road,2,900.0,2.0,4691333.333333334
7th Phase JP Nagar,3,1575.0,2.0,10932000.0
Raja Rajeshwari Nagar,2,1140.0,2.0,4338831.404484405
Varthur,3,2160.0,3.0,16952166.666666664
Ramamurthy Nagar,4,3700.0,4.0,31662000.0
Sanne Amanikere,1,655.0,1.0,3632016.4999999995
Bagalakunte,5,750.0,3.0,8693000.0
Srirampuram,2,432.0,2.0,2375043.3333333335
Yelahanka,3,1825.0,3.0,10643166.666666666
Cox Town,2,1000.0,2.0,8487000.0
Whitefield,3,1697.0,3.0,10346224.333333334
Raja Rajeshwari Nagar,1,500.0,1.0,1989056.6666666665
7th Phase JP Nagar,2,1050.0,2.0,5978679.523809525
Uttarahalli,2,1160.0,2.0,4393008.738095238
Channasandra,2,1065.0,2.0,3588390.6666666656
Bhoganhalli,3,1395.0,2.0,6991837.619047618
JP Nagar,3,1520.0,3.0,8502277.5
Kadugodi,2,1100.0,2.0,5121950.0
2nd Stage Nagarbhavi,4,1500.0,4.0,21935000.0
Electronic City Phase II,3,1549.0,3.0,7838390.0
Attibele,2,656.0,2.0,2673768.3333333335
Kanakapura main  Road,3,1495.0,2.0,7932772.229437227
"Varthur Road, ",2,1330.0,2.0,7983967.904761905
Iblur Village,3,1920.0,3.0,13418222.222222224
Hebbal,4,4225.0,6.0,41976666.666666664
Versova Layout,4,3700.0,4.0,31662000.0
Whitefield,3,1660.0,3.0,10880291.962861694
Singena Agrahara,3,1500.0,3.0,10630000.0
Yeshwanthpur,2,1170.0,2.0,7728340.0
Hulimavu,2,1175.0,2.0,5180706.666666666
Ashwath Nagar,2,1262.0,2.0,5714495.0
Ramagondanahalli,3,1610.0,2.0,11316428.571428573
Kothannur,3,1275.0,3.0,5241020.0
kanakapura main road,2,1041.0,2.0,4985366.666666667
Banashankari,4,2500.0,4.0,34101700.0
Harlur,2,1033.0,2.0,4820862.222222222
Anekal,2,1200.0,2.0,3686600.0
Hebbal,4,2790.0,5.0,27646000.0
Hegde Nagar,3,1801.0,3.0,11343160.0
Electronic City,2,1128.0,2.0,6537683.653592417
Kanakpura Road,2,950.0,2.0,5212320.0
Hulimavu,1,581.0,1.0,2957951.666666667
Sarjapur  Road,4,4050.0,2.0,36596000.0
Panathur,2,1198.0,2.0,8269548.015873015
Hennur Road,3,2089.0,3.0,13347250.000000002
Hormavu,2,1400.0,2.0,5882630.0
Frazer Town,2,1200.0,2.0,6326972.857142857
Yelahanka,3,1275.0,2.0,6504890.0
Thanisandra,2,1265.0,2.0,8182578.571428573
Electronics City Phase 1,3,1900.0,3.0,12812416.666666664
Raja Rajeshwari Nagar,1,510.0,1.0,2378685.833333333
Garudachar Palya,2,1060.0,2.0,4835240.0
Raja Rajeshwari Nagar 5th Stage,2,1056.0,2.0,4884320.416666666
Mahadevpura,3,1720.0,3.0,11526731.666666664
Hebbal,4,3900.0,4.0,40295000.0
Kudlu Gate,2,1238.0,2.0,5621947.555555555
Hegde Nagar,2,1179.0,2.0,5697575.0
Narayanapura,2,1308.0,2.0,8563831.666666668
Whitefield,3,1806.0,3.0,12238058.57142857
Reliaable Tranquil Layout,2,1256.0,2.0,6379156.666666668
Whitefield,4,6000.0,4.0,58114833.33333334
Indira Nagar,2,1210.0,2.0,9242383.333333332
Dollars Layout,3,1460.0,3.0,7364416.666666666
Kengeri,4,2540.0,4.0,19272333.333333336
Vinayaka Nagar,2,1200.0,2.0,5297615.714285715
JP Nagar,3,1315.0,2.0,6679864.285714285
Raja Rajeshwari Nagar,2,1419.0,2.0,5647705.333333334
Kadugondanahalli,2,800.0,1.0,3285663.5714285714
Hulimavu,2,1011.0,2.0,7139388.333333334
Horamavu Agara,2,760.0,2.0,3804936.4285714286
OMBR Layout,3,600.0,3.0,7987333.333333332
RMV 2nd Stage,4,1150.0,4.0,17993500.0
Kudlu,2,1027.0,2.0,4348660.137085136
Electronic City,2,970.0,2.0,4735447.619047619
Lakshminarayana Pura,2,1200.0,2.0,7593785.714285714
Kanakpura Road,3,1150.0,2.0,6322651.190476191
Thigalarapalya,2,1418.0,2.0,10324797.113997117
Yeshwanthpur,1,668.0,1.0,3684500.0
Malleshwaram,2,1400.0,2.0,12066833.333333332
Kammagondahalli,6,2700.0,7.0,15163000.0
Nagarbhavi,3,1050.0,3.0,23203628.57142857
Indira Nagar,3,2200.0,3.0,17154333.333333332
Cooke Town,2,1710.0,2.0,8653800.0
Yelahanka New Town,1,450.0,1.0,1680300.0
Sarjapur  Road,3,1200.0,3.0,7338207.5
Bagalakunte,1,700.0,1.0,3585641.666666667
Jayanagar,2,900.0,2.0,6809000.0
Arasanakunte,5,1200.0,6.0,13381500.0
Brookefield,2,1089.0,2.0,4622326.0
Whitefield,3,1870.0,3.0,13812750.0
Nagarbhavi,3,600.0,2.0,9040000.0
Konanakunte Cross,2,1050.0,2.0,4704623.75
Vidyaranyapura,2,1175.0,2.0,5108863.333333333
Hennur Road,2,1015.0,2.0,4851458.333333333
Bande Nallasandra,3,2400.0,4.0,17575719.04761905
Jalahalli East,3,1475.0,3.0,7932140.0
Singasandra,2,1100.0,2.0,4805200.0
Whitefield,2,1173.0,2.0,7647700.0
7th Phase JP Nagar,2,1100.0,2.0,4495000.0
8th block Koramangala,2,1410.0,1.0,9234785.0
Bannerghatta Road,1,595.0,1.0,3296975.0
Attibele,1,460.0,1.0,1422500.0
Magadi Road,2,1345.0,2.0,8158198.333333334
Hennur Road,3,1552.0,3.0,8183210.0
Hebbal,2,1349.0,2.0,9731492.142857142
Dodda Nekkundi,2,1100.0,2.0,4464087.833333334
Tigalarpalya,2,1150.0,2.0,5010267.916666667
Panathur,2,1198.0,2.0,8269548.015873015
Rajarajeshwari Nagara,4,1200.0,5.0,16659500.0
Hebbal,4,2630.0,5.0,20835650.0
Devanahalli,2,1080.0,2.0,4499663.333333334
RMV Extension,3,1630.0,3.0,7931060.0
Hebbal Kempapura,3,1800.0,3.0,14611000.0
HBR Layout,3,1832.0,3.0,10849330.0
Sarjapur  Road,2,1346.0,2.0,7403000.0
Bannerghatta Road,2,793.0,2.0,3913275.2380952383
Hebbal,3,1255.0,3.0,8080420.0
B Narayanapura,3,1092.0,2.0,4755804.090909091
Chandapura,3,1208.0,3.0,5474616.666666668
Dodsworth Layout,2,1400.0,2.0,7672168.333333334
Thigalarapalya,4,3122.0,6.0,24183337.179487176
Shanti Nagar,3,1602.0,2.0,13731380.0
Sarjapur,3,1575.0,3.0,8972123.80952381
Hebbal,2,1100.0,2.0,4800535.714285715
Sarjapur  Road,2,1026.0,2.0,5944883.333333334
KR Puram,2,1085.0,2.0,4633479.5
Ashirvad Colony,2,1000.0,2.0,4901925.0
Kereguddadahalli,2,1105.0,2.0,4277888.333333334
Garebhavipalya,2,1200.0,2.0,5297615.714285715
Thigalarapalya,3,2215.0,4.0,16039642.857142856
Indira Nagar,4,2400.0,4.0,58639933.33333332
Kodichikkanahalli,5,2500.0,7.0,10798000.0
Anjanapura,2,1076.0,2.0,4642949.999999999
Thanisandra,1,760.0,1.0,4563831.666666666
Gunjur,2,1063.0,2.0,4655306.666666667
Hebbal,3,1255.0,2.0,8592480.85714286
Frazer Town,3,1700.0,3.0,12926211.904761903
Kogilu,3,1664.0,2.0,10694545.0
Kadubeesanahalli,3,1365.0,3.0,6007873.666666668
Yelahanka,2,600.0,2.0,2957566.666666666
Virat Nagar,2,2080.0,2.0,11414980.0
New Thippasandra,3,1500.0,3.0,8820606.666666668
Roopena Agrahara,2,1050.0,2.0,4704623.75
Balagere,2,1012.0,2.0,6787426.19047619
Kasavanhalli,3,1819.0,3.0,13696875.0
kg halli jalhalli west,3,980.0,3.0,8819790.0
Hiremath Layout,3,1715.0,3.0,11497246.212121211
Battarahalli,3,1779.0,3.0,9575820.0
KR Puram,2,1000.0,2.0,4092000.0
Ramagondanahalli,3,1610.0,2.0,11316428.571428573
Kadubeesanahalli,2,1185.0,2.0,5094672.952380952
Bommanahalli,2,1020.0,2.0,4167127.2619047617
Judicial Layout,3,2070.0,3.0,12626090.0
Begur Road,2,1200.0,2.0,4354300.610449191
Panathur,2,1000.0,2.0,4487000.0
"Banasawadi, ",3,2312.0,3.0,15046893.333333336
Jakkur,3,1396.0,2.0,7034867.619047618
1st Phase JP Nagar,3,2059.0,3.0,18194000.0
Binny Pete,3,2406.0,5.0,23032619.04761905
Whitefield,4,1344.0,3.0,11054900.0
Banashankari,5,500.0,5.0,10312000.0
Ullal Road,5,1200.0,5.0,13374000.0
Kenchenahalli,3,1280.0,2.0,5929543.333333332
1st Phase JP Nagar,2,1077.0,2.0,5477856.153846154
Dodda Nekkundi,2,1370.0,2.0,7210980.0
Electronic City,3,1360.0,2.0,6838982.166666666
R.T. Nagar,3,1500.0,2.0,17089044.738562092
Old Madras Road,4,3715.0,6.0,25613000.0
Gaurava Nagar,5,1650.0,6.0,15187500.0
Old Madras Road,2,1165.0,2.0,4624343.333333333
Varthur,2,1112.0,2.0,4236260.0
Kaikondrahalli,2,849.0,2.0,3063910.0
Electronic City Phase II,2,1252.0,2.0,6424980.0
Akshaya Nagar,2,900.0,2.0,4435333.333333334
Kamakshipalya,9,1800.0,9.0,16914500.0
Sarjapur  Road,2,1216.0,2.0,9285166.666666668
Lingadheeranahalli,3,1684.0,3.0,12670484.523809524
Mahalakshmi Puram,2,830.0,2.0,3481036.666666667
Electronic City,1,710.0,1.0,3510235.8095238097
Hosa Road,3,1893.0,3.0,12099842.380952382
Devanahalli Int. Airport,2,1380.0,2.0,8096300.0
Karuna Nagar,3,1163.0,3.0,12826587.5
Anjanapura,1,600.0,2.0,3255615.0
Yelahanka,2,1274.0,2.0,7093278.857142857
Raja Rajeshwari Nagar,3,1570.0,3.0,8680976.904761905
Sarjapur  Road,5,3905.0,7.0,40394166.66666667
Thanisandra,3,1430.0,2.0,7680367.5
Thubarahalli,2,1216.0,2.0,7103882.51984127
"white field,kadugodi",6,2100.0,6.0,9954000.0
Marathahalli,3,1435.0,3.0,9705450.0
Whitefield,3,1720.0,3.0,11409899.333333332
Amruthahalli,2,4400.0,3.0,30602750.0
Malleshwaram,3,2250.0,3.0,25763773.80952381
Kengeri Satellite Town,1,930.0,1.0,4553400.0
9th Phase JP Nagar,2,1005.0,2.0,4823788.333333333
Kodihalli,2,1000.0,2.0,4819925.0
Sarakki Nagar,3,1840.0,4.0,18005786.666666668
,3,1600.0,3.0,8981833.333333334
Mallathahalli,2,1100.0,2.0,5988790.0
Basava Nagar,1,550.0,1.0,1924340.0
Poorna Pragna Layout,3,1270.0,2.0,5079000.0
Whitefield,3,1495.0,,11154610.0
Hoodi,8,1120.0,8.0,15133916.666666668
Yelahanka,1,654.0,1.0,3747100.4761904757
Uttarahalli,2,1180.0,2.0,4524940.0
Bannerghatta Road,2,1200.0,2.0,5766022.857142857
Thigalarapalya,4,4303.0,5.0,46988011.9047619
Electronic City,3,1615.0,3.0,10704700.0
Amruthahalli,2,1190.0,2.0,4915768.77463266
9th Phase JP Nagar,8,800.0,8.0,12768000.0
Kirloskar Layout,3,1400.0,3.0,6872040.0
Bellandur,3,1138.0,3.0,10016450.0
Hennur,2,1255.0,2.0,5504431.766212981
Billekahalli,4,1672.0,3.0,13580580.0
Annaiah Reddy Layout,2,1075.0,2.0,5191441.153846154
Banaswadi,2,1250.0,2.0,6122094.285714285
NGR Layout,2,1022.0,2.0,4728235.714285714
Malleshwaram,1,480.0,1.0,2328596.666666667
Pulkeshi Nagar,2,1452.55,2.0,8443990.0
Sarjapur  Road,3,1787.0,3.0,12117000.0
BTM 1st Stage,9,3300.0,14.0,37218000.0
Thanisandra,3,1732.0,3.0,10391419.833333336
Sarvabhouma Nagar,5,1500.0,5.0,14171000.0
Whitefield,2,935.0,2.0,5542104.714285715
Manonarayanapalya,3,800.0,2.0,6275040.0
Raja Rajeshwari Nagar,1,600.0,1.0,3305655.0
Kanakpura Road,2,1110.0,2.0,4886990.0
Hosahalli Extension,2,360.0,2.0,2590030.0
Nagavarapalya,2,1392.0,2.0,11005129.04761905
Volagerekallahalli,2,1070.0,2.0,3339569.0476190476
Ramagondanahalli,3,1475.0,2.0,7894902.242424242
8th Phase JP Nagar,3,950.0,3.0,8829110.0
HSR Layout,2,1140.0,2.0,4619000.0
8th Phase JP Nagar,9,1200.0,8.0,17416333.333333332
Banashankari Stage VI,3,600.0,3.0,7704933.333333332
7th Phase JP Nagar,4,1500.0,5.0,18018450.0
Shampura,2,1187.0,2.0,4958203.233082706
Yelahanka New Town,1,650.0,1.0,2539276.1904761903
MS Pallya,3,1100.0,3.0,6700747.5
Raja Rajeshwari Nagar,2,1295.0,2.0,5085708.858225108
2nd Stage Nagarbhavi,3,600.0,5.0,10598000.0
Banjara Layout,5,1200.0,5.0,13623500.0
Sarjapur  Road,3,1592.0,3.0,10753955.0
JP Nagar,3,1500.0,2.0,8235212.56684492
Koramangala,4,1410.0,2.0,11012340.0
Haralur Road,2,1243.0,2.0,4595088.483162415
Kambipura,2,883.0,2.0,4095635.5457966537
Gottigere,3,1304.0,3.0,6555900.0
Dinnur,6,1034.0,5.0,13671833.333333336
2nd Phase JP Nagar,3,2610.0,3.0,19093000.0
Kadugodi,3,1762.0,3.0,10656388.511904763
5th Phase JP Nagar,3,1350.0,2.0,7237954.666666666
Yelachenahalli,2,1200.0,2.0,5297615.714285715
Yeshwanthpur,2,1161.0,2.0,7207290.0
Kanaka Nagar,3,2274.24,4.0,17575733.333333336
Ambalipura,4,2750.0,4.0,21192211.904761903
Banashankari Stage V,3,1200.0,4.0,14533000.0
Kenchenahalli,2,870.0,1.0,4173510.0
Uttarahalli,3,1345.0,2.0,5842930.0
Bhuvaneshwari Nagar,2,1280.0,2.0,6393866.666666666
Banashankari,2,1077.0,2.0,5413340.0
Rustam Bagh Layout,3,1490.0,2.0,8086520.443722943
1st Block Koramangala,4,3000.0,5.0,34973841.666666664
Haralur Road,2,1300.0,2.0,7002928.571428572
Bannerghatta Road,2,1215.0,2.0,6062989.285714285
Electronic City,2,1100.0,2.0,6353487.678571429
Yelahanka,2,1170.0,2.0,5401270.0
Sanjay nagar,2,1000.0,2.0,5067375.0
Sarjapur  Road,3,1385.0,3.0,6738460.0
Yelachenahalli,3,1330.0,3.0,6613083.333333332
Electronic City Phase II,2,1020.0,2.0,2858629.1904761903
Kalena Agrahara,2,1200.0,2.0,4382583.333333334
Yelahanka,4,2600.0,4.0,19637666.666666668
Kothanur,2,1455.0,2.0,8108113.333333332
Attibele,1,400.0,1.0,1167672.2222222225
Raja Rajeshwari Nagar,3,1630.0,3.0,8135178.333333332
Hennur Road,4,2000.0,4.0,13409916.666666668
Sarjapur,4,4201.0,4.0,34462833.333333336
Bannerghatta Road,3,1365.0,3.0,6334277.0
Hegde Nagar,3,1703.0,3.0,12606821.428571427
Kanakpura Road,3,1450.0,3.0,7224549.76190476
Raja Rajeshwari Nagar,2,1165.0,2.0,6164783.333333332
Marasandra,4,5000.0,5.0,42158000.0
Sarjapur  Road,3,3009.0,3.0,23090166.66666667
Whitefield,2,1200.0,2.0,7186336.463100749
Yeshwanthpur,3,1430.0,3.0,7965150.0
Hosur Road,3,1427.0,2.0,8101540.0
CQAL LAYOUT C BLOCK,3,1200.0,3.0,7086213.785714286
Pampa Extension,2,1178.0,2.0,5587308.333333332
Rajaji Nagar,3,1621.0,3.0,22168203.174603175
Hennur Road,3,1703.0,3.0,11486428.57142857
Amruthnagar,2,1210.0,2.0,5856091.666666666
Thippasandra,1,660.0,1.0,3701733.333333333
